concept_a,concept_b,Course_Code,course_name,source_syllabus,embedding_similarity,order_delta,domain_match,keyword_overlap,label
Flow Control: Stop-and-Wait Flow Control,Ethernet Protocol,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1849,13,1,0.0,0
Space Division Switching,Medium Access Control,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2054,14,1,0.0,0
Linear Block Code,Error Control: Stop-and-Wait ARQ,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0706,6,1,0.0,0
Gigabit Ethernet,10-Gigabit Ethernet,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.8869,1,1,0.6667,1
Multi-class SVMs,Principal Component Analysis,2166111,Machine,SEM-V.pdf,0.372,2,1,0.0,1
Regular Expression,Pumping lemma,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2392,5,1,0.0,0
Closure properties,Equivalence between NFA with and ϵ- transitions,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1239,10,1,0.0,0
Ethernet Protocol,Gigabit Ethernet,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.6121,3,1,0.3333,1
Natural Language Processing (NLP),Nondeterministic Finite Automata (NFA): Definitions,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2025,2,1,0.0,1
Introduction to Congruence,Fourier Series,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1214,7,1,0.0,0
Structure of a switch,Go-Back-N ARQ,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0511,13,1,0.0,0
Edge Systems: Application in feature selection,Edge resource optimization,2166115,Nature-,SEM-V.pdf,0.5775,3,1,0.125,1
Languages in Compiler Design,Text Processing,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2119,1,1,0.0,1
Mixing equipment for cohesive solids,"Conveying, of solids: Belt conveyer, bucket",2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.390463,9,1,0.000000,0
Solid fluid,Sedimentation: Batch sedimentation. Kynch,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.167198,1,1,0.000000,0
Linear congruence,Raw moments,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,-0.016358,8,1,0.000000,0
Eulers method,Kutta second Order method,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.471117,1,1,0.200000,1
Relationship (EER) Model,"Concurrent Executions, Serializability",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0.058099,8,1,0.000000,0
Mixers for free flowing solids: Ribbon,"Conveying, of solids: Belt conveyer, bucket",2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.442659,8,1,0.111111,0
Decision properties of RLs,Nondeterministic Finite Automata (NFA): Definitions,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.248779,5,1,0.000000,0
Size reduction equipment – Jaw crusher,Fluidization: conditions for fluidization,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.092042,7,1,0.000000,0
Applications of Runge-Kutta Fourth order,Relation between E,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,-0.034265,5,1,0.000000,0
Size reduction of solids. Mechanism of size,Solid mixing – Introduction to solid mixing,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.197259,3,1,0.000000,0
Fluidization: conditions for fluidization,Solid fluid,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.489225,1,1,0.000000,1
Mixing equipment for cohesive solids,Storage of solids: Properties of particulate,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.396839,8,1,0.000000,0
Similarity of matrices,Applications of Runge-Kutta Fourth order,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.024633,5,1,0.000000,0
Quadratic forms,Introduction to Congruence,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0.216843,8,1,0.000000,0
Size reduction of solids. Mechanism of size,Mixing equipment for cohesive solids,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.263665,4,1,0.000000,0
Simplex method,Complex form of Fourier Series,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0.071746,9,1,0.000000,0
Similarity of matrices,Artificial variables,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,-0.004521,7,1,0.000000,0
Kutta second Order method,Method and Adam Bashford Predictor,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.240943,2,1,0.142857,0
Applications of Runge-Kutta Fourth order,Method and Adam Bashford Predictor,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.284708,1,1,0.000000,0
Shift operator E,Relation between E,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.536019,1,1,0.200000,1
Types of solutions,Application of congruence-RSA algorithm,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0.048462,8,1,0.000000,0
"Pitfalls in relational database designs, Concept","Concurrent Executions, Serializability",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0.184177,1,1,0.000000,0
Solid fluid,Gas solid separation equipment: Cyclone,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.387624,2,1,0.166667,0
Artificial variables,Moment generating function,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0.146683,10,1,0.000000,0
Screening equipment – Vibrating screen,Solid fluid,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.079444,11,1,0.000000,0
"Integrity constraints: key constraints, Domain","Concurrent Executions, Serializability",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0.347107,3,1,0.000000,0
"Triggers, Introduction to Pl/SQL Block Structure","Pitfalls in relational database designs, Concept",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0.396970,1,1,0.000000,0
Size reduction of solids. Mechanism of size,Mixers for free flowing solids: Ribbon,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.245119,5,1,0.000000,0
Arden's theorem,Pumping lemma for RLs,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0.222323,2,1,0.000000,0
Screening equipment – Vibrating screen,Size reduction of solids. Mechanism of size,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.028475,2,1,0.000000,0
"Hammer mill, Ball mill and Roll crusher",Sedimentation: Batch sedimentation. Kynch,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.169703,8,1,0.000000,0
Screening equipment – Vibrating screen,Fluidization: conditions for fluidization,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.005019,10,1,0.000000,0
Size reduction equipment – Jaw crusher,Storage of solids: Properties of particulate,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.090389,11,1,0.000000,0
Space Division Switching,Error Control: Stop-and-Wait ARQ,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.048079,5,1,0.000000,0
Linear and Non-Linear Programming Problems,Lines of regression,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.279609,14,1,0.000000,0
Decision properties of RLs,Minimization of DFA,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.191272,7,1,0.000000,0
Diagonalization of matrices,Applications of Runge-Kutta Fourth order,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.088452,4,1,0.000000,0
Screening equipment – Vibrating screen,"Hammer mill, Ball mill and Roll crusher",2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.095976,4,1,0.000000,0
Screening equipment – Vibrating screen,Size reduction equipment – Jaw crusher,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.221857,3,1,0.222222,0
Applying to chemical engineering problems related,Eulers method,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.160075,1,1,0.000000,0
Diagonalization of matrices,Relation between E,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.014425,9,1,0.000000,0
Similarity of matrices,Applying to chemical engineering problems related,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.017827,2,1,0.000000,0
10-Gigabit Ethernet,IEEE 802.11 Wireless LAN,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.309554,3,1,0.000000,0
Properties of Eigen,Shift operator E,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.227310,10,1,0.000000,0
Similarity of matrices,Linear congruence,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0.167135,10,1,0.000000,0
"Hammer mill, Ball mill and Roll crusher",Fluidization: conditions for fluidization,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.054303,6,1,0.000000,0
Mixers for free flowing solids: Ribbon,Storage of solids: Properties of particulate,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.266367,7,1,0.125000,0
Method and Adam Bashford Predictor,Corrector Method to chemical engineering,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.299241,1,1,0.142857,0
Solid mixing – Introduction to solid mixing,Solid fluid,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.491970,6,1,0.200000,1
"Introduction to the Relational Model, relational","Triggers, Introduction to Pl/SQL Block Structure",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0.221824,4,1,0.142857,0
Eulers method,Corrector Method to chemical engineering,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.349935,4,1,0.200000,0
Similarity of matrices,Method and Adam Bashford Predictor,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.036780,6,1,0.000000,0
Properties of Eigen,Applying to chemical engineering problems related,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.075468,3,1,0.000000,0
Size reduction of solids. Mechanism of size,Gas solid separation equipment: Cyclone,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.312146,11,1,0.000000,0
Introduction to Congruence,Moment generating function,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0.054586,8,1,0.000000,0
Fluidization: conditions for fluidization,Storage of solids: Properties of particulate,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.275478,4,1,0.000000,0
Simplex method,Application of congruence-RSA algorithm,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.155030,5,1,0.000000,0
Kuhn-Tucker conditions,Linear congruence,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,-0.038819,2,1,0.000000,0
Applying to chemical engineering problems related,Kutta second Order method,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.181969,2,1,0.000000,0
"Hammer mill, Ball mill and Roll crusher",Mixing equipment for cohesive solids,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.285408,2,1,0.000000,0
Kutta second Order method,Applications of Runge-Kutta Fourth order,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.723343,1,1,0.142857,1
Mixing equipment for cohesive solids,Gas solid separation equipment: Cyclone,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.449268,7,1,0.000000,0
Diagonalization of matrices,Corrector Method to chemical engineering,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.042447,6,1,0.000000,0
Similarity of matrices,Shift operator E,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.060727,9,1,0.000000,0
Size reduction equipment – Jaw crusher,Mixing equipment for cohesive solids,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.299900,3,1,0.111111,0
"Hammer mill, Ball mill and Roll crusher",Solid mixing – Introduction to solid mixing,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.243196,1,1,0.000000,0
Solid mixing – Introduction to solid mixing,Sedimentation: Batch sedimentation. Kynch,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0.241843,7,1,0.000000,0
