concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,label,embedding_similarity,keyword_overlap,suggested_label,reason
Green’s theorem (without proof) in a plane,Self- Learning Topics,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,0.0366,0.0,0,Low sim=0.037
Green’s theorem (without proof) in a plane,Identities connecting Gradient,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,3,1,,0.2659,0.0,0,No signal: sim=0.266 delta=3 kw=0.000
Green’s theorem (without proof) in a plane,Divergence and Curl,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,4,1,,0.2278,0.0,0,No signal: sim=0.228 delta=4 kw=0.000
Green’s theorem (without proof) in a plane,Green’s theorem,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,5,1,,0.8774,0.375,1,High sim=0.877 + delta=5
Green’s theorem (without proof) in a plane,Cauchy’s Integral theorem for simple,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,6,1,,0.3255,0.1667,0,No signal: sim=0.326 delta=6 kw=0.167
Green’s theorem (without proof) in a plane,Definition of Singularity,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,7,1,,0.0615,0.0,0,Low sim=0.062
Green’s theorem (without proof) in a plane,Spearman’s Rank correlation coefficient (R) (Repeated,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,8,1,,0.0152,0.0714,0,Low sim=0.015
Green’s theorem (without proof) in a plane,Lines of regression,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,9,1,,0.1248,0.0,0,Low sim=0.125
Green’s theorem (without proof) in a plane,Fitting of first and second degree curves,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,10,1,,0.034,0.0,0,Low sim=0.034
Green’s theorem (without proof) in a plane,Discrete and Continuous random variables,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,11,1,,0.0373,0.0,0,Low sim=0.037
Green’s theorem (without proof) in a plane,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,12,1,,-0.0023,0.0,0,Low sim=-0.002
Green’s theorem (without proof) in a plane,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,13,1,,0.025,0.0,0,Low sim=0.025
Green’s theorem (without proof) in a plane,Probability Distribution: Poisson and Normal distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,14,1,,-0.0365,0.0,0,Low sim=-0.036
Divergence theorem (without proof) and problems (only,Self- Learning Topics,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,1,1,,0.1128,0.0,0,Low sim=0.113
Divergence theorem (without proof) and problems (only,Identities connecting Gradient,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,0.3564,0.0,1,Adjacent topics: delta=2 + sim=0.356
Divergence theorem (without proof) and problems (only,Divergence and Curl,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,3,1,,0.6285,0.25,1,High sim=0.628 + delta=3
Divergence theorem (without proof) and problems (only,Green’s theorem,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,4,1,,0.3517,0.1111,0,No signal: sim=0.352 delta=4 kw=0.111
Divergence theorem (without proof) and problems (only,Cauchy’s Integral theorem for simple,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,5,1,,0.312,0.0833,0,No signal: sim=0.312 delta=5 kw=0.083
Divergence theorem (without proof) and problems (only,Definition of Singularity,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,6,1,,-0.0047,0.0,0,Low sim=-0.005
Divergence theorem (without proof) and problems (only,Spearman’s Rank correlation coefficient (R) (Repeated,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,7,1,,-0.0396,0.0,0,Low sim=-0.040
Divergence theorem (without proof) and problems (only,Lines of regression,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,8,1,,0.0651,0.0,0,Low sim=0.065
Divergence theorem (without proof) and problems (only,Fitting of first and second degree curves,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,9,1,,-0.0028,0.0769,0,Low sim=-0.003
Divergence theorem (without proof) and problems (only,Discrete and Continuous random variables,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,10,1,,0.0599,0.0909,0,Low sim=0.060
Divergence theorem (without proof) and problems (only,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,11,1,,0.1186,0.0,0,Low sim=0.119
Divergence theorem (without proof) and problems (only,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,12,1,,0.1143,0.0,0,Low sim=0.114
Divergence theorem (without proof) and problems (only,Probability Distribution: Poisson and Normal distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,13,1,,0.0456,0.0909,0,Low sim=0.046
Divergence theorem (without proof) and problems (only,Sampling distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,14,1,,0.0335,0.0,0,Low sim=0.034
Self- Learning Topics,Identities connecting Gradient,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,1,1,,0.0255,0.0,0,Low sim=0.025
Self- Learning Topics,Divergence and Curl,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,0.0705,0.0,0,Low sim=0.071
Self- Learning Topics,Green’s theorem,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,3,1,,0.062,0.0,0,Low sim=0.062
Self- Learning Topics,Cauchy’s Integral theorem for simple,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,4,1,,0.0118,0.0,0,Low sim=0.012
Self- Learning Topics,Definition of Singularity,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,5,1,,0.0669,0.0,0,Low sim=0.067
Self- Learning Topics,Spearman’s Rank correlation coefficient (R) (Repeated,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,6,1,,0.0184,0.0,0,Low sim=0.018
Self- Learning Topics,Lines of regression,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,7,1,,0.0566,0.0,0,Low sim=0.057
Self- Learning Topics,Fitting of first and second degree curves,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,8,1,,0.035,0.0,0,Low sim=0.035
Self- Learning Topics,Discrete and Continuous random variables,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,9,1,,0.086,0.0,0,Low sim=0.086
Self- Learning Topics,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,10,1,,0.0009,0.0,0,Low sim=0.001
Self- Learning Topics,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,11,1,,0.7752,0.6,1,High sim=0.775 + delta=11
Self- Learning Topics,Probability Distribution: Poisson and Normal distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,12,1,,-0.0013,0.0,0,Low sim=-0.001
Self- Learning Topics,Sampling distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,13,1,,0.0885,0.0,0,Low sim=0.089
Self- Learning Topics,Test of Hypothesis,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,14,1,,0.0325,0.0,0,Low sim=0.032
Identities connecting Gradient,Divergence and Curl,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,1,1,,0.4348,0.0,1,Adjacent topics: delta=1 + sim=0.435
Identities connecting Gradient,Green’s theorem,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,0.22,0.0,1,Adjacent topics: delta=2 + sim=0.220
Identities connecting Gradient,Cauchy’s Integral theorem for simple,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,3,1,,0.0542,0.0,0,Low sim=0.054
Identities connecting Gradient,Definition of Singularity,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,4,1,,-0.0446,0.0,0,Low sim=-0.045
Identities connecting Gradient,Spearman’s Rank correlation coefficient (R) (Repeated,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,5,1,,0.0587,0.0,0,Low sim=0.059
Identities connecting Gradient,Lines of regression,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,6,1,,0.2203,0.0,0,No signal: sim=0.220 delta=6 kw=0.000
Identities connecting Gradient,Fitting of first and second degree curves,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,7,1,,0.0979,0.0,0,Low sim=0.098
Identities connecting Gradient,Discrete and Continuous random variables,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,8,1,,0.0141,0.0,0,Low sim=0.014
Identities connecting Gradient,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,9,1,,0.2049,0.0,0,No signal: sim=0.205 delta=9 kw=0.000
Identities connecting Gradient,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,10,1,,0.0154,0.0,0,Low sim=0.015
Identities connecting Gradient,Probability Distribution: Poisson and Normal distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,11,1,,0.0052,0.0,0,Low sim=0.005
Identities connecting Gradient,Sampling distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,12,1,,-0.0816,0.0,0,Low sim=-0.082
Identities connecting Gradient,Test of Hypothesis,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,13,1,,-0.0358,0.0,0,Low sim=-0.036
Identities connecting Gradient,Critical region,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,14,1,,0.0931,0.0,0,Low sim=0.093
Divergence and Curl,Green’s theorem,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,1,1,,0.2422,0.0,1,Adjacent topics: delta=1 + sim=0.242
Divergence and Curl,Cauchy’s Integral theorem for simple,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,0.1833,0.0,0,No signal: sim=0.183 delta=2 kw=0.000
Divergence and Curl,Definition of Singularity,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,3,1,,0.0538,0.0,0,Low sim=0.054
Divergence and Curl,Spearman’s Rank correlation coefficient (R) (Repeated,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,4,1,,-0.0004,0.0,0,Low sim=-0.000
Divergence and Curl,Lines of regression,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,5,1,,0.103,0.0,0,Low sim=0.103
Divergence and Curl,Fitting of first and second degree curves,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,6,1,,0.0369,0.1111,0,Low sim=0.037
Divergence and Curl,Discrete and Continuous random variables,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,7,1,,0.0643,0.1429,0,Low sim=0.064
Divergence and Curl,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,8,1,,0.127,0.0,0,Low sim=0.127
Divergence and Curl,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,9,1,,0.07,0.0,0,Low sim=0.070
Divergence and Curl,Probability Distribution: Poisson and Normal distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,10,1,,0.0737,0.1429,0,Low sim=0.074
Divergence and Curl,Sampling distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,11,1,,0.0589,0.0,0,Low sim=0.059
Divergence and Curl,Test of Hypothesis,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,12,1,,0.1422,0.0,0,Low sim=0.142
Divergence and Curl,Critical region,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,13,1,,0.1316,0.0,0,Low sim=0.132
Divergence and Curl,One-tailed,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,14,1,,0.0793,0.0,0,Low sim=0.079
Green’s theorem,Cauchy’s Integral theorem for simple,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,1,1,,0.3445,0.2857,1,Adjacent topics: delta=1 + sim=0.345
Green’s theorem,Definition of Singularity,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,0.044,0.0,0,Low sim=0.044
Green’s theorem,Spearman’s Rank correlation coefficient (R) (Repeated,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,3,1,,0.0667,0.1111,0,Low sim=0.067
Green’s theorem,Lines of regression,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,4,1,,0.1097,0.0,0,Low sim=0.110
Green’s theorem,Fitting of first and second degree curves,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,5,1,,0.0982,0.0,0,Low sim=0.098
Green’s theorem,Discrete and Continuous random variables,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,6,1,,0.1222,0.0,0,Low sim=0.122
Green’s theorem,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,7,1,,0.0543,0.0,0,Low sim=0.054
Green’s theorem,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,8,1,,0.0591,0.0,0,Low sim=0.059
Green’s theorem,Probability Distribution: Poisson and Normal distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,9,1,,0.0243,0.0,0,Low sim=0.024
Green’s theorem,Sampling distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,10,1,,0.0077,0.0,0,Low sim=0.008
Green’s theorem,Test of Hypothesis,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,11,1,,0.1433,0.0,0,Low sim=0.143
Green’s theorem,Critical region,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,12,1,,0.1856,0.0,0,Far apart: delta=12 + sim=0.186
Green’s theorem,One-tailed,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,13,1,,0.1274,0.0,0,Low sim=0.127
Cauchy’s Integral theorem for simple,Definition of Singularity,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,1,1,,0.1818,0.0,0,No signal: sim=0.182 delta=1 kw=0.000
Cauchy’s Integral theorem for simple,Spearman’s Rank correlation coefficient (R) (Repeated,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,-0.0523,0.0833,0,Low sim=-0.052
Cauchy’s Integral theorem for simple,Lines of regression,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,3,1,,-0.0108,0.0,0,Low sim=-0.011
Cauchy’s Integral theorem for simple,Fitting of first and second degree curves,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,4,1,,0.0693,0.0,0,Low sim=0.069
Cauchy’s Integral theorem for simple,Discrete and Continuous random variables,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,5,1,,0.0364,0.0,0,Low sim=0.036
Cauchy’s Integral theorem for simple,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,6,1,,0.0401,0.0,0,Low sim=0.040
Cauchy’s Integral theorem for simple,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,7,1,,0.0388,0.0,0,Low sim=0.039
Cauchy’s Integral theorem for simple,Probability Distribution: Poisson and Normal distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,8,1,,-0.0105,0.0,0,Low sim=-0.010
Cauchy’s Integral theorem for simple,Sampling distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,9,1,,0.0293,0.0,0,Low sim=0.029
Cauchy’s Integral theorem for simple,Test of Hypothesis,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,10,1,,0.1026,0.0,0,Low sim=0.103
Cauchy’s Integral theorem for simple,Critical region,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,11,1,,0.1194,0.0,0,Low sim=0.119
Cauchy’s Integral theorem for simple,One-tailed,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,12,1,,0.0492,0.0,0,Low sim=0.049
Definition of Singularity,Spearman’s Rank correlation coefficient (R) (Repeated,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,1,1,,-0.0104,0.0,0,Low sim=-0.010
Definition of Singularity,Lines of regression,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,0.0718,0.2,0,Low sim=0.072
Definition of Singularity,Fitting of first and second degree curves,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,3,1,,-0.0104,0.1111,0,Low sim=-0.010
Definition of Singularity,Discrete and Continuous random variables,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,4,1,,-0.0118,0.0,0,Low sim=-0.012
Definition of Singularity,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,5,1,,-0.0528,0.0,0,Low sim=-0.053
Definition of Singularity,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,6,1,,0.0463,0.0,0,Low sim=0.046
Definition of Singularity,Probability Distribution: Poisson and Normal distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,7,1,,-0.0602,0.0,0,Low sim=-0.060
Definition of Singularity,Sampling distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,8,1,,-0.0828,0.0,0,Low sim=-0.083
Definition of Singularity,Test of Hypothesis,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,9,1,,0.0251,0.2,0,Low sim=0.025
Definition of Singularity,Critical region,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,10,1,,0.1641,0.0,0,No signal: sim=0.164 delta=10 kw=0.000
Definition of Singularity,One-tailed,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,11,1,,0.1563,0.0,0,No signal: sim=0.156 delta=11 kw=0.000
Spearman’s Rank correlation coefficient (R) (Repeated,Lines of regression,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,1,1,,0.1095,0.0,0,Low sim=0.109
Spearman’s Rank correlation coefficient (R) (Repeated,Fitting of first and second degree curves,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,0.1421,0.0,0,Low sim=0.142
Spearman’s Rank correlation coefficient (R) (Repeated,Discrete and Continuous random variables,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,3,1,,0.0906,0.0,0,Low sim=0.091
Spearman’s Rank correlation coefficient (R) (Repeated,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,4,1,,0.0883,0.0,0,Low sim=0.088
Spearman’s Rank correlation coefficient (R) (Repeated,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,5,1,,0.0299,0.0,0,Low sim=0.030
Spearman’s Rank correlation coefficient (R) (Repeated,Probability Distribution: Poisson and Normal distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,6,1,,0.0084,0.0,0,Low sim=0.008
Spearman’s Rank correlation coefficient (R) (Repeated,Sampling distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,7,1,,0.0463,0.0,0,Low sim=0.046
Spearman’s Rank correlation coefficient (R) (Repeated,Test of Hypothesis,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,8,1,,0.0975,0.0,0,Low sim=0.097
Spearman’s Rank correlation coefficient (R) (Repeated,Critical region,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,9,1,,-0.0163,0.0,0,Low sim=-0.016
Spearman’s Rank correlation coefficient (R) (Repeated,One-tailed,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,10,1,,0.1128,0.0,0,Low sim=0.113
Lines of regression,Fitting of first and second degree curves,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,1,1,,0.3745,0.1111,1,Adjacent topics: delta=1 + sim=0.375
Lines of regression,Discrete and Continuous random variables,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,0.1436,0.0,0,Low sim=0.144
Lines of regression,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,3,1,,0.0294,0.0,0,Low sim=0.029
Lines of regression,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,4,1,,0.0933,0.0,0,Low sim=0.093
Lines of regression,Probability Distribution: Poisson and Normal distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,5,1,,0.0594,0.0,0,Low sim=0.059
Lines of regression,Sampling distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,6,1,,0.0891,0.0,0,Low sim=0.089
Lines of regression,Test of Hypothesis,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,7,1,,0.1897,0.2,0,No signal: sim=0.190 delta=7 kw=0.200
Lines of regression,Critical region,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,8,1,,0.1864,0.0,0,No signal: sim=0.186 delta=8 kw=0.000
Lines of regression,One-tailed,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,9,1,,0.1196,0.0,0,Low sim=0.120
Fitting of first and second degree curves,Discrete and Continuous random variables,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,1,1,,-0.062,0.0909,0,Low sim=-0.062
Fitting of first and second degree curves,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,-0.0265,0.0,0,Low sim=-0.026
Fitting of first and second degree curves,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,3,1,,-0.0055,0.0,0,Low sim=-0.005
Fitting of first and second degree curves,Probability Distribution: Poisson and Normal distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,4,1,,-0.089,0.0909,0,Low sim=-0.089
Fitting of first and second degree curves,Sampling distribution,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,5,1,,0.0025,0.0,0,Low sim=0.002
Fitting of first and second degree curves,Test of Hypothesis,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,6,1,,-0.0171,0.1111,0,Low sim=-0.017
Fitting of first and second degree curves,Critical region,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,7,1,,0.1181,0.0,0,Low sim=0.118
Fitting of first and second degree curves,One-tailed,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,8,1,,0.0341,0.0,0,Low sim=0.034
Discrete and Continuous random variables,Moment generating functions,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,1,1,,0.2704,0.0,1,Adjacent topics: delta=1 + sim=0.270
Discrete and Continuous random variables,Self- learning Topics: Conditional probability,6.23-N-B.E.-Civil-Engineeing-Sem-III-IV.pdf,2094111,Applied Mathematics for Civil,2,1,,0.2181,0.0,1,Adjacent topics: delta=2 + sim=0.218
