concept_a,concept_b,source_syllabus,order_delta,label,reason,domain_match,Course_Code,course_name,embedding_similarity,keyword_overlap
Flow of a single fluid through a packed bed,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.1955,0.0833
Flow of a single fluid through a packed bed,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.1858,0.0769
Ergun’s equation,Fluidization: conditions for fluidization,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.1164,0.0
Ergun’s equation,Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.1576,0.0
Ergun’s equation,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.0731,0.0
Ergun’s equation,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,-0.0013,0.0
Ergun’s equation,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.1034,0.0
Ergun’s equation,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.1046,0.0
Fluidization: conditions for fluidization,Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.489,1.0,,,0.4892,0.0
Fluidization: conditions for fluidization,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.2386,0.0
Fluidization: conditions for fluidization,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.2382,0.0
Fluidization: conditions for fluidization,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.2755,0.0
Fluidization: conditions for fluidization,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.2264,0.0
Solid fluid,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.1672,0.0
Solid fluid,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,1,Adjacent same-course topics: delta=2 + sim=0.388,1.0,,,0.3876,0.1667
Solid fluid,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.4466,0.0
Solid fluid,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.3577,0.0
Sedimentation: Batch sedimentation. Kynch,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.1367,0.0
Sedimentation: Batch sedimentation. Kynch,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.266,0.0
Sedimentation: Batch sedimentation. Kynch,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.2904,0.0
Gas solid separation equipment: Cyclone,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.346,1.0,,,0.3463,0.0
Gas solid separation equipment: Cyclone,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.2696,0.0
Storage of solids: Properties of particulate,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.437,1.0,,,0.437,0.2222
Cayley-Hamilton,Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.318,1.0,,,0.318,0.0
Cayley-Hamilton,Similarity of matrices,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.2718,0.0
Cayley-Hamilton,Quadratic forms,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.1908,0.0
Cayley-Hamilton,Linear and Non-Linear Programming Problems,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,-0.0703,0.0
Cayley-Hamilton,Types of solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.0693,0.0
Cayley-Hamilton,Standard and Canonical of LPP,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.1027,0.0
Cayley-Hamilton,Basic and Feasible solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.0012,0.0
Cayley-Hamilton,Simplex method,6.41N-A-I-AI-DS-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.0414,0.0
Cayley-Hamilton,Artificial variables,6.41N-A-I-AI-DS-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.0767,0.0
Cayley-Hamilton,Kuhn-Tucker conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.0109,0.0
Cayley-Hamilton,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.1471,0.0
Cayley-Hamilton,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,0.2145,0.0
Cayley-Hamilton,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,13,0,Insufficient signal,1.0,,,0.0894,0.0
Cayley-Hamilton,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,14,0,Insufficient signal,1.0,,,-0.0433,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Similarity of matrices,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,1,Foundational kw in A + sim=0.378 + delta=1,1.0,,,0.378,0.1667
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Quadratic forms,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,1,Adjacent same-course topics: delta=2 + sim=0.327,1.0,,,0.3275,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Linear and Non-Linear Programming Problems,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.2021,0.1429
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Types of solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.0988,0.0769
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Standard and Canonical of LPP,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.1691,0.1429
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Basic and Feasible solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.1148,0.0714
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Simplex method,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.1524,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Artificial variables,6.41N-A-I-AI-DS-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.0919,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Kuhn-Tucker conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.0756,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.0743,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.2843,0.0833
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,0.1457,0.0667
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,13,0,Insufficient signal,1.0,,,-0.0551,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,14,0,Insufficient signal,1.0,,,0.0501,0.0714
Similarity of matrices,Quadratic forms,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.1835,0.0
Similarity of matrices,Linear and Non-Linear Programming Problems,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.0555,0.0
Similarity of matrices,Types of solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.0718,0.2
Similarity of matrices,Standard and Canonical of LPP,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.0275,0.1429
Similarity of matrices,Basic and Feasible solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.057,0.0
Similarity of matrices,Simplex method,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.0153,0.0
Similarity of matrices,Artificial variables,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,-0.0045,0.0
Similarity of matrices,Kuhn-Tucker conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.0595,0.0
Similarity of matrices,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.0499,0.0
Similarity of matrices,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.1671,0.0
Similarity of matrices,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.0755,0.1429
Similarity of matrices,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,-0.0128,0.0
Similarity of matrices,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,13,0,Insufficient signal,1.0,,,0.0009,0.1667
Similarity of matrices,Fourier series of even and odd functions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,14,0,Insufficient signal,1.0,,,-0.0637,0.1111
Quadratic forms,Linear and Non-Linear Programming Problems,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.161,0.0
Quadratic forms,Types of solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.2615,0.0
Quadratic forms,Standard and Canonical of LPP,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.1094,0.0
Quadratic forms,Basic and Feasible solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.226,0.0
Quadratic forms,Simplex method,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.1793,0.0
Quadratic forms,Artificial variables,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.1713,0.0
Quadratic forms,Kuhn-Tucker conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.2002,0.0
Quadratic forms,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.2168,0.0
Quadratic forms,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.2821,0.0
Quadratic forms,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.1161,0.0
Quadratic forms,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.1331,0.0
Quadratic forms,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,0.0328,0.0
Quadratic forms,Fourier series of even and odd functions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,13,0,Insufficient signal,1.0,,,0.0468,0.0
Quadratic forms,Complex form of Fourier Series,6.41N-A-I-AI-DS-Sem-III-IV.pdf,14,0,Insufficient signal,1.0,,,0.1998,0.0
Linear and Non-Linear Programming Problems,Types of solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.2528,0.0
Linear and Non-Linear Programming Problems,Standard and Canonical of LPP,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,1,Insufficient signal,1.0,,,0.2497,0.1111
Linear and Non-Linear Programming Problems,Basic and Feasible solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,1,sim=0.575>=0.55 + delta=3<=5,1.0,,,0.575,0.125
Linear and Non-Linear Programming Problems,Simplex method,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.2234,0.0
Linear and Non-Linear Programming Problems,Artificial variables,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.3948,0.0
Linear and Non-Linear Programming Problems,Kuhn-Tucker conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.2473,0.0
Linear and Non-Linear Programming Problems,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,-0.0405,0.0
Linear and Non-Linear Programming Problems,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.1338,0.1667
Linear and Non-Linear Programming Problems,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.0412,0.0
Linear and Non-Linear Programming Problems,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.0428,0.0
Linear and Non-Linear Programming Problems,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,-0.127,0.0
Linear and Non-Linear Programming Problems,Fourier series of even and odd functions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,-0.0229,0.0909
Linear and Non-Linear Programming Problems,Complex form of Fourier Series,6.41N-A-I-AI-DS-Sem-III-IV.pdf,13,0,Insufficient signal,1.0,,,-0.13,0.0
Linear and Non-Linear Programming Problems,Lines of regression,6.41N-A-I-AI-DS-Sem-III-IV.pdf,14,0,Insufficient signal,1.0,,,0.2796,0.0
Types of solutions,Standard and Canonical of LPP,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.1217,0.1429
Types of solutions,Basic and Feasible solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,1,Foundational kw in A + sim=0.479 + delta=2,1.0,,,0.479,0.1667
Types of solutions,Simplex method,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.1297,0.0
Types of solutions,Artificial variables,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,1,Insufficient signal,1.0,,,0.2761,0.0
Types of solutions,Kuhn-Tucker conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.1889,0.0
Types of solutions,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.0776,0.0
Types of solutions,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.1037,0.0
Types of solutions,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.0485,0.1429
Types of solutions,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.1982,0.0
Types of solutions,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.0109,0.1667
Types of solutions,Fourier series of even and odd functions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.0343,0.1111
Types of solutions,Complex form of Fourier Series,6.41N-A-I-AI-DS-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,0.0521,0.1429
Types of solutions,Lines of regression,6.41N-A-I-AI-DS-Sem-III-IV.pdf,13,0,Insufficient signal,1.0,,,0.1037,0.2
Types of solutions,Moment generating function,6.41N-A-I-AI-DS-Sem-III-IV.pdf,14,0,Insufficient signal,1.0,,,0.0109,0.0
Standard and Canonical of LPP,Basic and Feasible solutions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,1,Insufficient signal,1.0,,,0.224,0.125
Standard and Canonical of LPP,Simplex method,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.1656,0.0
Standard and Canonical of LPP,Artificial variables,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.1601,0.0
Standard and Canonical of LPP,Kuhn-Tucker conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.0818,0.0
Standard and Canonical of LPP,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.0827,0.0
Standard and Canonical of LPP,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.1686,0.0
Standard and Canonical of LPP,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.0824,0.1111
Standard and Canonical of LPP,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.0865,0.0
Standard and Canonical of LPP,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,-0.0222,0.125
Standard and Canonical of LPP,Fourier series of even and odd functions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.0379,0.2
Standard and Canonical of LPP,Complex form of Fourier Series,6.41N-A-I-AI-DS-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.0169,0.1111
Standard and Canonical of LPP,Lines of regression,6.41N-A-I-AI-DS-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,0.1162,0.1429
Standard and Canonical of LPP,Moment generating function,6.41N-A-I-AI-DS-Sem-III-IV.pdf,13,0,Insufficient signal,1.0,,,0.0601,0.0
Standard and Canonical of LPP,Raw moments,6.41N-A-I-AI-DS-Sem-III-IV.pdf,14,0,Insufficient signal,1.0,,,0.0491,0.0
Basic and Feasible solutions,Simplex method,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.330,1.0,,,0.33,0.0
Basic and Feasible solutions,Artificial variables,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,1,Foundational kw in A + sim=0.427 + delta=2,1.0,,,0.4269,0.0
Basic and Feasible solutions,Kuhn-Tucker conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,1,Insufficient signal,1.0,,,0.2568,0.0
Basic and Feasible solutions,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.1335,0.0
Basic and Feasible solutions,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.1608,0.0
Basic and Feasible solutions,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.1536,0.0
Basic and Feasible solutions,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.143,0.0
Basic and Feasible solutions,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,-0.0731,0.0
Basic and Feasible solutions,Fourier series of even and odd functions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,-0.0582,0.1
Basic and Feasible solutions,Complex form of Fourier Series,6.41N-A-I-AI-DS-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,-0.0442,0.0
Basic and Feasible solutions,Lines of regression,6.41N-A-I-AI-DS-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.1566,0.0
Basic and Feasible solutions,Moment generating function,6.41N-A-I-AI-DS-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,0.0337,0.0
Basic and Feasible solutions,Raw moments,6.41N-A-I-AI-DS-Sem-III-IV.pdf,13,0,Insufficient signal,1.0,,,0.0636,0.0
Simplex method,Artificial variables,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,1,Insufficient signal,1.0,,,0.267,0.0
Simplex method,Kuhn-Tucker conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.0561,0.0
Simplex method,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.0279,0.0
Simplex method,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.1412,0.0
Simplex method,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.155,0.0
Simplex method,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,-0.0792,0.0
Simplex method,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.0877,0.0
Simplex method,Fourier series of even and odd functions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.1592,0.0
Simplex method,Complex form of Fourier Series,6.41N-A-I-AI-DS-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.0717,0.0
Simplex method,Lines of regression,6.41N-A-I-AI-DS-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.1042,0.0
Simplex method,Moment generating function,6.41N-A-I-AI-DS-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.096,0.0
Simplex method,Raw moments,6.41N-A-I-AI-DS-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,0.0617,0.0
Artificial variables,Kuhn-Tucker conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,1,Insufficient signal,1.0,,,0.208,0.0
Artificial variables,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.0703,0.0
Artificial variables,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.0242,0.0
Artificial variables,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.1005,0.0
Artificial variables,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.0852,0.0
Artificial variables,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,-0.0556,0.0
Artificial variables,Fourier series of even and odd functions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,-0.0434,0.0
Artificial variables,Complex form of Fourier Series,6.41N-A-I-AI-DS-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.0469,0.0
Artificial variables,Lines of regression,6.41N-A-I-AI-DS-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.3424,0.0
Artificial variables,Moment generating function,6.41N-A-I-AI-DS-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.1467,0.0
Artificial variables,Raw moments,6.41N-A-I-AI-DS-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.121,0.0
Kuhn-Tucker conditions,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.0039,0.0
Kuhn-Tucker conditions,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,-0.0388,0.0
Kuhn-Tucker conditions,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,-0.0484,0.0
Kuhn-Tucker conditions,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.4166,0.2
Kuhn-Tucker conditions,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,-0.0291,0.0
Kuhn-Tucker conditions,Fourier series of even and odd functions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.0022,0.0
Kuhn-Tucker conditions,Complex form of Fourier Series,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.057,0.0
Kuhn-Tucker conditions,Lines of regression,6.41N-A-I-AI-DS-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.0916,0.0
Kuhn-Tucker conditions,Moment generating function,6.41N-A-I-AI-DS-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.0264,0.0
Kuhn-Tucker conditions,Raw moments,6.41N-A-I-AI-DS-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.1,0.0
Introduction to Congruence,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,1,High sim=0.678 + delta=1,1.0,,,0.6781,0.25
Introduction to Congruence,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2,1,High sim=0.688 + delta=2,1.0,,,0.6881,0.1429
Introduction to Congruence,Dirichlet’s conditions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.1547,0.0
Introduction to Congruence,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.1555,0.0
Introduction to Congruence,Fourier series of even and odd functions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.0929,0.0
Introduction to Congruence,Complex form of Fourier Series,6.41N-A-I-AI-DS-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.0916,0.0
